subject_id,time_elapsed,gender,age,understood,comments
edc3fa9f384405ee42becaef8e3a9fb5,1006181,female,27,yes,NA
8c95f1ffd84cd2f12884d1ced76a359d,724111,female,21,yes,NA
af86eea55191e176914814b6cc98f456,698795,male,22,yes,"Just now realizing that I interpreted, ""relationship,"" specifically as a romantic one... so- lots of same-sex romantic relationships."
5518ab5e50241937bf8b7eb846dfe8b9,609939,female,22,yes,NA
74cdfb393268cb25e66dec52049ef7a6,2144383,female,27,yes,NA
5a6ae1b8f1185f93a6972b91996486ef,844808,female,23,yes,NA
1807c252d8dbec0d17cf1df1055eecf3,326367,male,19,yes,NA
840458347c74166193b1070b02476686,1803591,female,33,yes,I enjoyed working on the survey.
ab013b227a4c1938cc447d2a788900dc,1304793,male,35,yes,no comments.
7f0d4aaff4a388cea621e0730ef917a3,600990,female,54,yes,The very first scenario I think was between 2 guys but the info in the box was on Taylor and someone else--and that was a scenario that came later (the writers one). So it appears the wrong prompt was in that box for the first scenario.
e27909b79a7c64a43a1640ab7f54670c,1184162,male,53,yes,Thank You.
a60c13acdf8536b89276647c67a8aaef,2660701,female,44,yes,No
ee3aa85857b0ffe410271c5a9964bd4d,777133,male,63,yes,NA
21680b3451e158b8cfc82b33613296c4,1606120,female,47,yes,NA
2654c47566f8dba64241fe84d14af3e9,1162735,male,52,yes,"I think there was a typo on one question, which had an answer that did not make sense - it said ""they woke up early so they could sleep in, etc etc"". Not sure if that was intentional or not."
facf773dee3f73fed2dbf49a687a7c71,1177090,male,35,yes,NA
a58471d94bb6ff19bb3f58d0015409b3,1370685,male,30,yes,NA
e844898aba69927e6ae329e10cde169b,1197407,male,35,yes,NA
482751e49faa3e9380a0cc5aea658813,1087689,female,64,yes,it was different
7fe499c8dbb2abdb8425556a88792c3f,602265,male,26,yes,none thank you for this opportunity
c8ebae878abaf2bd90544c48af4b19bc,656895,female,26,yes,NA
45a2cbfd75d2a1d09d431836f22f0ca5,485318,female,29,yes,NA
e35dec08d24d0fdd22a249a8a34de025,615051,male,24,yes,None
07ac79f8446b2ffa2ba1bc65b9df0d12,1992118,male,27,yes,n/a
94ce6c0509e04a0b0226573ba3db430b,670933,female,23,yes,NA
014f31b58c231e609d293267bd7158c4,1012592,male,33,yes,N/A
f8a7c172a7f40071675b0fce61154306,772210,male,42,yes,Very important experiment.
58bccc72632d1b6d44f5d6655dc39d85,1029698,male,47,yes,no comments
bcb432bc1f67a2e2ddc2f3a53e33e6e6,1580515,male,42,yes,"one scenario had the two ""woke up both days to sleep in"" which is worded strange."
2733e6c0869f1ae5939aaf81ecced3ef,1281889,female,57,yes,NA
393f2c6b83ea604bf3a0a5b4440c7ead,1286179,female,33,yes,NA
d522ed604fa4e2ad70cbf690b6510ef0,1057174,male,36,yes,"For the friends that spent the weekend together, was one of the options meant to be that they ""woke up later and slept in, walked around, etc."" instead of ""woke up earlier and slept in...""?"
83f568d347fcb5320a7aebe691446425,574819,female,25,yes,NA
5cdffe3273d7bfb175c04206d4ef968a,801603,male,36,yes,NA
801ba288790ae4a2d44f2a717c7bf341,934908,male,51,yes,Interesting study!  Thank you
381787df0483fd4d1cca21d29910d25b,570498,female,51,yes,Thanks
0b72b429ce5eb7921252d0f34eb6a850,608848,male,18,yes,NA
30b95f54c30ddeabe66bb9369f907820,661002,male,53,yes,NA
43d40e0037c219b7bd2265ca4b4590d1,879854,male,59,yes,"There were some examples where reciprocity would be expected. The others, were a specific person would lead no matter what."
a11f3d2055d75536419cb5b7530523b3,728311,male,38,yes,"Thank you, hope my answers helped your study."
e46481a747038284214577a554c776ed,920500,female,20,yes,NA
aae5f159d9086666c15738b29816fd52,1246787,female,65,yes,NA
